country,year,sex,iso2c,iso3c,region,capital,longitude,latitude,income,lending,youthpop,literacy,lifexp,pop,primedu,smoke,unemployed,obese,none,flag_smoke
Afghanistan,2019,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7885531,NA,NA,18512029,NA,NA,2592424,NA,All,missing
Afghanistan,2018,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7814407,3059414.8064188394,66.026,18079105,12136377,NA,2514080,NA,All,missing
Afghanistan,2017,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7732365,NA,65.656,17644266,11766764,NA,2486077,NA,All,missing
Afghanistan,2016,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7640138,NA,65.275,17196083,10937408,NA,2461447,1306902.308,All,missing
Afghanistan,2015,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7538168,NA,64.877,16727437,NA,NA,2413267,1221102.9009999998,All,missing
Afghanistan,2014,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7434606,NA,64.453,16231996,NA,NA,2354451,1136239.7200000002,All,missing
Afghanistan,2013,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7311698,NA,63.999,15715313,NA,NA,2307008,1037210.658,All,missing
Afghanistan,2012,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7173441,NA,63.514,15196503,NA,NA,2252122,957379.689,All,missing
Afghanistan,2011,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7024632,1306530.8379236415,63,14702051,NA,NA,2173110,882123.0599999999,All,missing
Afghanistan,2010,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,6868888,NA,62.459,14249753,NA,NA,2111101,812235.921,All,missing
Afghanistan,2009,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,6692548,NA,61.898,13850754,NA,NA,2065286,747940.7160000001,All,missing
Afghanistan,2008,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,6523611,NA,61.326,13496554,NA,NA,1910302,701820.8080000001,All,missing
Afghanistan,2007,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,6354166,NA,60.751,13161569,NA,NA,1937909,644916.881,All,missing
Afghanistan,2006,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,6173716,NA,60.183,12809158,NA,NA,1848490,602030.426,All,missing
Afghanistan,2005,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,5976085,NA,59.628,12414591,NA,NA,1851015,546242.0040000001,All,missing
Afghanistan,2004,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,5792147,NA,59.093,11962961,NA,NA,1779730,502444.362,All,missing
Afghanistan,2003,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,5579221,NA,58.578,11466237,NA,NA,1703768,458649.48,All,missing
Afghanistan,2002,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,5353946,NA,58.08,10958666,NA,NA,1647745,416429.30799999996,All,missing
Afghanistan,2001,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,5137505,NA,57.596,10489236,NA,NA,1542127,377612.49600000004,All,missing
Afghanistan,2000,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,4941836,NA,57.12,10090447,NA,NA,1486626,343075.19800000003,All,missing
Afghanistan,1999,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,4772697,NA,56.645,9784257,NA,NA,1447483,313096.224,All,missing
Afghanistan,1998,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,4640144,NA,56.162,9553496,NA,NA,1405319,286604.88,All,missing
Afghanistan,1997,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,4515377,NA,55.663,9344885,NA,NA,1373605,271001.665,All,missing
Afghanistan,1996,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,4362435,NA,55.141,9082948,NA,NA,1317482,245239.59600000002,All,missing
Afghanistan,1995,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,4163100,NA,54.592,8718033,NA,NA,1290530,226668.858,All,missing
Afghanistan,1994,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,3940688,NA,54.012,8227017,NA,NA,1194152,197448.408,All,missing
Afghanistan,1993,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,3661343,NA,53.405,7639817,1078773,NA,1099446,175715.791,All,missing
Afghanistan,1992,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,3366714,NA,52.774,7024452,NA,NA,1007868,154537.94400000002,All,missing
Afghanistan,1991,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,3107658,NA,52.119,6477343,NA,NA,921467,136024.203,All,missing
Afghanistan,1990,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,2914609,NA,51.442,6067693,NA,NA,NA,115286.167,All,missing
Afghanistan,1989,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,2770530,NA,50.742,5814530,NA,NA,NA,104661.54000000001,All,missing
Afghanistan,1988,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,2705982,NA,50.023,5695338,NA,NA,NA,96820.74600000001,All,missing
Afghanistan,1987,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,2700213,NA,49.29,5686380,NA,NA,NA,90982.08,All,missing
Afghanistan,1986,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,2726344,NA,48.55,5747658,NA,NA,NA,86214.87,All,missing
Afghanistan,1985,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,2763495,NA,47.807,5846317,634908,NA,NA,87694.75499999999,All,missing
Afghanistan,1984,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,2806367,NA,47.066,5980036,642625,NA,NA,83720.50399999999,All,missing
Afghanistan,1983,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,2870806,NA,46.331,6149027,NA,NA,NA,79937.35100000001,All,missing
Afghanistan,1982,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,2939414,NA,45.607,6324850,NA,NA,NA,75898.2,All,missing
Afghanistan,1981,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,2993322,NA,44.899,6472946,830971,NA,NA,71202.406,All,missing
Afghanistan,1980,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,3020362,NA,44.209,6568232,594618,NA,NA,72250.55200000001,All,missing
