country,year,sex,iso2c,iso3c,region,capital,longitude,latitude,income,lending,lifexp,pop,primedu,smoke,unemployed,obese,none
Afghanistan,1975,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,39.293,6446271,NA,NA,NA,12892.542,All
Afghanistan,1975,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,41.064,6242889,NA,NA,NA,49943.112,All
Afghanistan,1976,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,39.874,6573732,NA,NA,NA,13147.464,All
Afghanistan,1976,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,41.656,6369361,NA,NA,NA,50954.888,All
Afghanistan,1977,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,40.473,6689150,1993707,NA,NA,13378.300000000001,All
Afghanistan,1977,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,42.265,6482156,357048,NA,NA,58339.40400000001,All
Afghanistan,1978,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,41.09,6776022,2198767,NA,NA,13552.044,All
Afghanistan,1978,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,42.894,6565176,417414,NA,NA,59086.58400000001,All
Afghanistan,1979,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,41.723,6813203,NA,NA,NA,20439.609,All
Afghanistan,1979,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,43.541,6597853,NA,NA,NA,65978.53,All
Afghanistan,1980,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,42.372,6788279,2918208,NA,NA,20364.837,All
Afghanistan,1980,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,44.209,6568232,594618,NA,NA,72250.55200000001,All
Afghanistan,1981,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,43.037,6698727,3463543,NA,NA,20096.181,All
Afghanistan,1981,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,44.899,6472946,830971,NA,NA,71202.406,All
Afghanistan,1982,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,43.715,6557678,NA,NA,NA,19673.034,All
Afghanistan,1982,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,45.607,6324850,NA,NA,NA,75898.2,All
Afghanistan,1983,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,44.403,6388703,NA,NA,NA,25554.812,All
Afghanistan,1983,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,46.331,6149027,NA,NA,NA,79937.35100000001,All
Afghanistan,1984,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,45.097,6224256,1533795,NA,NA,24897.024,All
Afghanistan,1984,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,47.066,5980036,642625,NA,NA,83720.50399999999,All
Afghanistan,1985,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,45.796,6091891,1573704,NA,NA,24367.564000000002,All
Afghanistan,1985,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,47.807,5846317,634908,NA,NA,87694.75499999999,All
Afghanistan,1986,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,46.499,5988521,NA,NA,NA,23954.084,All
Afghanistan,1986,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,48.55,5747658,NA,NA,NA,86214.87,All
Afghanistan,1987,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,47.204,5918154,NA,NA,NA,29590.77,All
Afghanistan,1987,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,49.29,5686380,NA,NA,NA,90982.08,All
Afghanistan,1988,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,47.906,5922667,NA,NA,NA,29613.335,All
Afghanistan,1988,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,50.023,5695338,NA,NA,NA,96820.74600000001,All
Afghanistan,1989,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,48.601,6054347,NA,NA,NA,36326.082,All
Afghanistan,1989,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,50.742,5814530,NA,NA,NA,104661.54000000001,All
Afghanistan,1990,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,49.281,6344615,NA,NA,NA,38067.69,All
Afghanistan,1990,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,51.442,6067693,NA,NA,NA,115286.167,All
Afghanistan,1991,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,49.938,6821674,NA,NA,727259,40930.044,All
Afghanistan,1991,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,52.119,6477343,NA,NA,921467,136024.203,All
Afghanistan,1992,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,50.57,7461094,NA,NA,800650,52227.657999999996,All
Afghanistan,1992,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,52.774,7024452,NA,NA,1007868,154537.94400000002,All
Afghanistan,1993,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,51.172,8176786,3262547,NA,891678,57237.50199999999,All
Afghanistan,1993,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,53.405,7639817,1078773,NA,1099446,175715.791,All
Afghanistan,1994,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,51.746,8848710,NA,NA,966102,70789.68000000001,All
Afghanistan,1994,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,54.012,8227017,NA,NA,1194152,197448.408,All
Afghanistan,1995,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,52.287,9392624,NA,NA,1021354,75140.992,All
Afghanistan,1995,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,54.592,8718033,NA,NA,1290530,226668.858,All
Afghanistan,1996,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,52.798,9770489,NA,NA,1070846,87934.40100000001,All
Afghanistan,1996,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,55.141,9082948,NA,NA,1317482,245239.59600000002,All
Afghanistan,1997,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,53.285,10012241,NA,NA,1092135,100122.41,All
Afghanistan,1997,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,55.663,9344885,NA,NA,1373605,271001.665,All
Afghanistan,1998,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,53.753,10184269,NA,NA,1110085,101842.69,All
Afghanistan,1998,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,56.162,9553496,NA,NA,1405319,286604.88,All
Afghanistan,1999,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,54.21,10386587,NA,NA,1139824,114252.45700000001,All
Afghanistan,1999,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,56.645,9784257,NA,NA,1447483,313096.224,All
Afghanistan,2000,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,54.663,10689506,NA,NA,1170715,128274.072,All
Afghanistan,2000,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,57.12,10090447,NA,NA,1486626,343075.19800000003,All
Afghanistan,2001,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,55.119,11117752,NA,NA,1217060,144530.776,All
Afghanistan,2001,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,57.596,10489236,NA,NA,1542127,377612.49600000004,All
Afghanistan,2002,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,55.583,11642104,NA,NA,1278187,151347.352,All
Afghanistan,2002,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,58.08,10958666,NA,NA,1647745,416429.30799999996,All
Afghanistan,2003,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,56.056,12214634,NA,NA,1345198,171004.876,All
Afghanistan,2003,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,58.578,11466237,NA,NA,1703768,458649.48,All
Afghanistan,2004,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,56.542,12763723,NA,NA,1392905,191455.845,All
Afghanistan,2004,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,59.093,11962961,NA,NA,1779730,502444.362,All
Afghanistan,2005,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,57.044,13239686,NA,NA,1427503,211834.976,All
Afghanistan,2005,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,59.628,12414591,NA,NA,1851015,546242.0040000001,All
Afghanistan,2006,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,57.562,13623891,NA,NA,1448765,231606.14700000003,All
Afghanistan,2006,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,60.183,12809158,NA,NA,1848490,602030.426,All
Afghanistan,2007,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,58.092,13938967,NA,NA,1446307,250901.40600000002,All
Afghanistan,2007,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,60.751,13161569,NA,NA,1937909,644916.881,All
